gameid,playerid,position,kills,deaths,assists,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,wardsplaced,wpm,wardskilled,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,goldat15,xpat15,csat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,deathsat15
ESPORTSTMNT03_3087549,19,top,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8136,262.8756,0.165154,734.5073,10,0.3231,8,7,35,1.1309,10962,6898,222.8756,0.229619,10875,249.0,249.0,0,8.0452,3308.0,4812.0,90.0,163.0,7.0,0.0,0.0,0.0,5268.0,8024.0,145.0,349.0,8.0,0.0,0.0,0.0,0.0
ESPORTSTMNT03_3087549,26,jng,3,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10228,330.4685,0.20762,777.4152,14,0.4523,13,12,54,1.7447,11100,7036,227.3344,0.234213,10700,170.0,22.0,148,5.4927,3227.0,3442.0,65.0,442.0,5.0,0.0,0.0,1.0,5208.0,5499.0,98.0,-467.0,-10.0,0.0,1.0,1.0,1.0
ESPORTSTMNT03_3087549,32,mid,1,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15315,494.8304,0.310882,362.4879,16,0.517,5,6,37,1.1955,10648,6584,212.7302,0.219167,10350,251.0,247.0,4,8.1099,3130.0,4961.0,86.0,453.0,2.0,0.0,0.0,0.0,5337.0,7899.0,140.0,647.0,0.0,1.0,0.0,0.0,0.0
ESPORTSTMNT03_3087549,21,bot,1,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9495,306.7851,0.192741,716.1874,13,0.42,11,6,48,1.5509,10612,6548,211.567,0.217968,9975,246.0,234.0,12,7.9483,3095.0,3130.0,72.0,-388.0,-13.0,0.0,1.0,1.0,4654.0,5058.0,115.0,-1288.0,-29.0,0.0,1.0,1.0,1.0
ESPORTSTMNT03_3087549,1,sup,2,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6089,196.7367,0.123602,249.1761,54,1.7447,8,19,78,2.5202,7039,2975,96.1228,0.0990333,7125,12.0,12.0,0,0.3877,2268.0,1838.0,1.0,-377.0,0.0,1.0,0.0,1.0,3202.0,3311.0,7.0,-243.0,2.0,1.0,0.0,1.0,1.0
ESPORTSTMNT03_3088580,54,top,8,2,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37099,832.7497,0.296422,784.0853,12,0.2694,17,8,56,1.257,19746,14017,314.6352,0.241833,19750,363.0,335.0,28,8.1481,2801.0,4217.0,65.0,-464.0,-14.0,0.0,0.0,0.0,4262.0,6231.0,99.0,-1599.0,-37.0,0.0,0.0,1.0,1.0
ESPORTSTMNT03_3088580,31,jng,3,3,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,18061,405.4097,0.144308,895.982,14,0.3143,26,15,86,1.9304,15688,9959,223.5466,0.171824,14625,223.0,52.0,171,5.0056,3688.0,3392.0,62.0,270.0,0.0,1.0,1.0,0.0,5049.0,4613.0,83.0,-721.0,-11.0,1.0,1.0,0.0,0.0
ESPORTSTMNT03_3088580,56,mid,8,2,10,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,22720,509.9888,0.181533,718.5185,16,0.3591,13,11,52,1.1672,20606,14877,333.9394,0.25667,18325,383.0,375.0,8,8.5971,4101.0,4398.0,73.0,125.0,-5.0,3.0,1.0,0.0,5930.0,6894.0,125.0,6.0,-5.0,3.0,1.0,0.0,0.0
ESPORTSTMNT03_3088580,4,bot,3,3,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37429,840.1571,0.299059,347.2727,20,0.4489,6,6,44,0.9877,18827,13098,294.0067,0.225978,17750,381.0,362.0,19,8.5522,3231.0,3218.0,83.0,345.0,6.0,0.0,0.0,0.0,5833.0,5753.0,143.0,745.0,16.0,0.0,0.0,0.0,0.0
ESPORTSTMNT03_3088580,23,sup,1,3,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9847,221.0325,0.0786778,352.9966,84,1.8855,27,24,167,3.7486,11739,6010,134.9046,0.103694,10625,44.0,44.0,0,0.9877,2462.0,2263.0,6.0,77.0,-8.0,0.0,2.0,0.0,3602.0,3465.0,12.0,52.0,-12.0,0.0,2.0,0.0,0.0
