gameid,playoffs,game,patch,top_blue,jng_blue,mid_blue,bot_blue,sup_blue,teamid_blue,top_red,jng_red,mid_red,bot_red,sup_red,teamid_red,result
ESPORTSTMNT04_2451799,1,3,12.14,13,41,62,7,70,4,46,10,5,69,67,2,0
ESPORTSTMNT04_2451801,1,4,12.14,46,10,5,69,67,2,13,41,62,7,70,4,0
ESPORTSTMNT04_2451805,1,5,12.14,13,41,62,7,70,4,46,10,5,69,67,2,0
ESPORTSTMNT04_2472051,1,1,12.14,34,6,61,48,1,8,71,42,76,8,25,5,1
ESPORTSTMNT04_2472071,1,2,12.14,71,42,76,8,25,5,34,6,61,48,1,8,1
ESPORTSTMNT04_2472073,1,3,12.14,34,6,61,48,1,8,71,42,76,8,25,5,1
ESPORTSTMNT04_2472076,1,4,12.14,71,42,76,8,25,5,34,6,61,48,1,8,1
ESPORTSTMNT04_2472078,1,5,12.14,34,6,61,48,1,8,71,42,76,8,25,5,1
ESPORTSTMNT04_2472114,1,1,12.14,13,41,62,7,70,4,34,6,61,48,1,8,1
ESPORTSTMNT04_2472121,1,2,12.14,34,6,61,48,1,8,13,41,62,7,70,4,0
ESPORTSTMNT04_2472122,1,3,12.14,13,41,62,7,70,4,34,6,61,48,1,8,1
ESPORTSTMNT04_2472249,1,1,12.14,13,41,62,7,70,4,46,10,5,69,67,2,1
ESPORTSTMNT04_2472255,1,2,12.14,13,41,62,7,70,4,46,10,5,69,67,2,1
ESPORTSTMNT04_2472256,1,3,12.14,46,10,5,69,67,2,13,41,62,7,70,4,0
